month,specialty,region,total_waiting,within_18_weeks,over_52_weeks,median_wait_weeks,pct_within_18_weeks
2020-05-01,Neurology,London,4156,2464,68,6.9,59.3
2020-05-01,Neurology,Midlands,3859,2372,47,22.8,61.5
2020-05-01,Neurology,North West,2435,1495,172,14.8,61.4
2020-05-01,Neurology,North East,3649,2359,44,26.5,64.6
2020-05-01,Neurology,South East,2431,2107,248,9.6,86.7
2020-05-01,Neurology,South West,3639,3272,517,25.1,89.9
2020-05-01,Neurology,East of England,4346,3678,455,18.6,84.6
2020-05-01,Ophthalmology,London,2368,1703,204,26.7,71.9
2020-05-01,Ophthalmology,Midlands,4713,2952,227,10.7,62.6
2020-05-01,Ophthalmology,North West,4173,2323,96,21.0,55.7
2020-05-01,Ophthalmology,North East,3696,2929,236,21.0,79.2
2020-05-01,Ophthalmology,South East,3869,3293,191,8.6,85.1
2020-05-01,Ophthalmology,South West,2316,2076,35,15.2,89.6
2020-05-01,Ophthalmology,East of England,3608,2715,249,18.5,75.2
2020-05-01,General Surgery,London,3586,3286,243,14.2,91.6
2020-05-01,General Surgery,Midlands,2943,1989,412,24.9,67.6
2020-05-01,General Surgery,North West,4240,3398,481,11.2,80.1
2020-05-01,General Surgery,North East,4752,3501,597,13.0,73.7
2020-05-01,General Surgery,South East,1498,879,26,27.1,58.7
2020-05-01,General Surgery,South West,4971,3386,715,20.9,68.1
2020-05-01,General Surgery,East of England,4377,3430,318,12.5,78.4
2020-05-01,Urology,London,3738,2350,532,23.2,62.9
2020-05-01,Urology,Midlands,1862,1086,147,7.3,58.3
2020-05-01,Urology,North West,4094,2336,463,18.0,57.1
2020-05-01,Urology,North East,1753,1365,42,7.9,77.9
2020-05-01,Urology,South East,1991,1148,248,21.5,57.7
2020-05-01,Urology,South West,2340,1731,99,18.8,74.0
2020-05-01,Urology,East of England,2188,1503,270,26.8,68.7
2020-05-01,Gynaecology,London,2124,1760,133,7.8,82.9
2020-05-01,Gynaecology,Midlands,3723,2816,258,25.9,75.6
2020-05-01,Gynaecology,North West,4934,3506,224,14.9,71.1
2020-05-01,Gynaecology,North East,4509,2573,120,8.6,57.1
2020-05-01,Gynaecology,South East,2184,1802,230,11.2,82.5
2020-05-01,Gynaecology,South West,1304,898,65,25.1,68.9
2020-05-01,Gynaecology,East of England,933,790,137,18.2,84.7
2020-05-01,ENT,London,4975,3707,741,7.6,74.5
2020-05-01,ENT,Midlands,2050,1654,42,9.7,80.7
2020-05-01,ENT,North West,4176,3371,307,19.8,80.7
2020-05-01,ENT,North East,4130,3648,67,12.2,88.3
2020-05-01,ENT,South East,3583,2047,233,8.3,57.1
2020-05-01,ENT,South West,1945,1205,145,13.8,62.0
2020-05-01,ENT,East of England,1339,774,196,27.7,57.8
2020-05-01,Gastroenterology,London,3308,2657,108,26.0,80.3
2020-05-01,Gastroenterology,Midlands,4124,3703,281,18.8,89.8
2020-05-01,Gastroenterology,North West,2744,1933,385,25.1,70.4
2020-05-01,Gastroenterology,North East,1815,1251,224,27.7,68.9
2020-05-01,Gastroenterology,South East,4958,3447,625,18.5,69.5
2020-05-01,Gastroenterology,South West,4800,3472,326,12.0,72.3
2020-05-01,Gastroenterology,East of England,2800,2093,321,26.1,74.8
2020-05-01,Dermatology,London,4436,3990,572,11.4,89.9
2020-05-01,Dermatology,Midlands,2848,2571,270,11.0,90.3
2020-05-01,Dermatology,North West,2623,1488,124,6.5,56.7
2020-05-01,Dermatology,North East,1049,778,123,17.4,74.2
2020-05-01,Dermatology,South East,2784,2099,246,25.3,75.4
2020-05-01,Dermatology,South West,2648,2034,204,15.3,76.8
2020-05-01,Dermatology,East of England,2052,1599,222,10.7,77.9
2020-06-01,Orthopaedics,London,2129,1635,138,15.6,76.8
2020-06-01,Orthopaedics,Midlands,2817,1912,230,23.2,67.9
2020-06-01,Orthopaedics,North West,3977,3456,568,9.2,86.9
2020-06-01,Orthopaedics,North East,4272,3127,197,16.1,73.2
2020-06-01,Orthopaedics,South East,3393,2645,198,10.6,78.0
2020-06-01,Orthopaedics,South West,4938,3154,101,8.8,63.9
2020-06-01,Orthopaedics,East of England,4245,3430,149,21.3,80.8
2020-06-01,Cardiology,London,1080,952,82,20.7,88.1
2020-06-01,Cardiology,Midlands,2769,2139,114,24.1,77.2
2020-06-01,Cardiology,North West,4700,2640,408,17.8,56.2
2020-06-01,Cardiology,North East,1323,828,80,17.1,62.6
2020-06-01,Cardiology,South East,3096,2253,329,17.3,72.8
2020-06-01,Cardiology,South West,3678,2536,38,25.1,69.0
2020-06-01,Cardiology,East of England,2855,2360,102,10.6,82.7
2020-06-01,Neurology,London,1438,1282,61,22.7,89.2
2020-06-01,Neurology,Midlands,2925,2109,335,6.8,72.1
2020-06-01,Neurology,North West,2446,2109,281,6.7,86.2
2020-06-01,Neurology,North East,4145,2965,350,11.3,71.5
2020-06-01,Neurology,South East,2875,1602,158,10.7,55.7
2020-06-01,Neurology,South West,925,549,124,19.1,59.4
2020-06-01,Neurology,East of England,2403,1637,242,16.6,68.1
2020-06-01,Ophthalmology,London,2293,1759,262,15.5,76.7
2020-06-01,Ophthalmology,Midlands,3272,2208,444,19.4,67.5
2020-06-01,Ophthalmology,North West,4314,2941,638,19.3,68.2
2020-06-01,Ophthalmology,North East,2112,1167,87,14.0,55.3
2020-06-01,Ophthalmology,South East,3363,2908,75,23.7,86.5
2020-06-01,Ophthalmology,South West,4535,3998,96,17.5,88.2
2020-06-01,Ophthalmology,East of England,1863,1505,278,25.7,80.8
2020-06-01,General Surgery,London,1267,1151,166,24.0,90.8
2020-06-01,General Surgery,Midlands,3728,2727,414,24.1,73.1
2020-06-01,General Surgery,North West,1646,1231,126,24.4,74.8
2020-06-01,General Surgery,North East,1941,1578,73,22.2,81.3
2020-06-01,General Surgery,South East,2848,2209,143,18.8,77.6
2020-06-01,General Surgery,South West,2826,2175,174,16.0,77.0
2020-06-01,General Surgery,East of England,1060,607,157,13.1,57.3
2020-06-01,Urology,London,4513,2628,132,6.1,58.2
2020-06-01,Urology,Midlands,3624,2791,275,15.1,77.0
2020-06-01,Urology,North West,4477,2639,577,22.4,58.9
2020-06-01,Urology,North East,2769,1650,311,26.6,59.6
2020-06-01,Urology,South East,3435,2371,479,21.9,69.0
2020-06-01,Urology,South West,4443,3827,131,23.5,86.1
2020-06-01,Urology,East of England,2114,1291,262,20.6,61.1
2020-06-01,Gynaecology,London,3421,2335,454,14.6,68.3
2020-06-01,Gynaecology,Midlands,3143,2254,345,25.8,71.7
2020-06-01,Gynaecology,North West,2990,2283,178,14.6,76.4
2020-06-01,Gynaecology,North East,4833,3630,661,19.7,75.1
2020-06-01,Gynaecology,South East,2770,1965,156,22.1,70.9
2020-06-01,Gynaecology,South West,2835,2337,255,27.9,82.4
2020-06-01,Gynaecology,East of England,1920,1558,228,9.1,81.1
2020-06-01,ENT,London,3043,2315,355,25.3,76.1
2020-06-01,ENT,Midlands,3712,2182,315,14.3,58.8
2020-06-01,ENT,North West,4028,3019,314,15.0,75.0
2020-06-01,ENT,North East,4556,3719,454,21.3,81.6
2020-06-01,ENT,South East,1593,1024,93,10.0,64.3
2020-06-01,ENT,South West,3719,2848,245,16.2,76.6
2020-06-01,ENT,East of England,3149,2448,433,9.1,77.7
2020-06-01,Gastroenterology,London,4081,3167,51,25.2,77.6
2020-06-01,Gastroenterology,Midlands,4331,2545,600,23.4,58.8
2020-06-01,Gastroenterology,North West,4676,3795,146,18.7,81.2
2020-06-01,Gastroenterology,North East,4249,2445,88,8.3,57.5
2020-06-01,Gastroenterology,South East,4168,3719,304,8.5,89.2
2020-06-01,Gastroenterology,South West,4276,2613,154,24.4,61.1
2020-06-01,Gastroenterology,East of England,3872,3375,319,19.0,87.2
2020-06-01,Dermatology,London,3508,2421,400,10.5,69.0
2020-06-01,Dermatology,Midlands,1374,966,179,26.3,70.3
2020-06-01,Dermatology,North West,4081,2970,565,18.9,72.8
2020-06-01,Dermatology,North East,1754,1258,52,9.9,71.7
2020-06-01,Dermatology,South East,2790,1705,41,12.9,61.1
2020-06-01,Dermatology,South West,4958,3236,202,10.7,65.3
2020-06-01,Dermatology,East of England,3920,2414,566,9.3,61.6
2020-07-01,Orthopaedics,London,8101,7035,1238,18.1,86.8
2020-07-01,Orthopaedics,Midlands,4665,3100,551,27.7,66.5
2020-07-01,Orthopaedics,North West,3151,2780,219,18.4,88.2
2020-07-01,Orthopaedics,North East,4140,3000,663,13.4,72.5
2020-07-01,Orthopaedics,South East,6942,5165,896,26.7,74.4
2020-07-01,Orthopaedics,South West,3142,1908,200,44.9,60.7
2020-07-01,Orthopaedics,East of England,4105,3620,618,42.5,88.2
2020-07-01,Cardiology,London,1537,934,304,36.9,60.8
2020-07-01,Cardiology,Midlands,2937,2214,240,18.6,75.4
2020-07-01,Cardiology,North West,2028,1193,445,17.9,58.8
2020-07-01,Cardiology,North East,8055,5140,346,20.4,63.8
2020-07-01,Cardiology,South East,3799,3292,863,26.5,86.7
2020-07-01,Cardiology,South West,1735,1044,208,23.6,60.2
2020-07-01,Cardiology,East of England,2833,2329,656,15.7,82.2
2020-07-01,Neurology,London,3085,2362,383,46.1,76.6
2020-07-01,Neurology,Midlands,7909,5109,899,34.2,64.6
2020-07-01,Neurology,North West,4239,3310,513,32.7,78.1
2020-07-01,Neurology,North East,7878,6558,419,45.2,83.2
2020-07-01,Neurology,South East,6262,5727,856,18.0,91.5
2020-07-01,Neurology,South West,8555,4776,733,32.2,55.8
2020-07-01,Neurology,East of England,1864,1302,135,36.3,69.8
2020-07-01,Ophthalmology,London,6013,5497,904,17.6,91.4
2020-07-01,Ophthalmology,Midlands,8276,6643,1864,31.8,80.3
2020-07-01,Ophthalmology,North West,5200,3969,452,32.7,76.3
2020-07-01,Ophthalmology,North East,4359,2569,232,21.2,58.9
2020-07-01,Ophthalmology,South East,2601,2135,211,35.9,82.1
2020-07-01,Ophthalmology,South West,2257,1720,517,26.8,76.2
2020-07-01,Ophthalmology,East of England,6265,4424,671,48.8,70.6
2020-07-01,General Surgery,London,8236,4782,1400,20.5,58.1
2020-07-01,General Surgery,Midlands,1706,1466,218,47.1,85.9
2020-07-01,General Surgery,North West,1774,1170,285,29.7,66.0
2020-07-01,General Surgery,North East,6319,5665,1280,19.3,89.7
2020-07-01,General Surgery,South East,2790,1805,468,12.8,64.7
2020-07-01,General Surgery,South West,2305,1799,316,24.4,78.0
2020-07-01,General Surgery,East of England,5657,4635,808,38.1,81.9
2020-07-01,Urology,London,8856,5678,1987,42.5,64.1
2020-07-01,Urology,Midlands,1747,1586,33,14.9,90.8
2020-07-01,Urology,North West,4384,2559,1092,16.2,58.4
2020-07-01,Urology,North East,2032,1636,303,14.2,80.5
2020-07-01,Urology,South East,8033,7012,1626,42.7,87.3
2020-07-01,Urology,South West,4590,3754,819,49.6,81.8
2020-07-01,Urology,East of England,8146,6569,252,37.3,80.6
2020-07-01,Gynaecology,London,7486,6071,1880,18.0,81.1
2020-07-01,Gynaecology,Midlands,7122,6329,189,38.4,88.9
2020-07-01,Gynaecology,North West,6714,5989,1763,48.2,89.2
2020-07-01,Gynaecology,North East,7369,6403,1700,23.4,86.9
2020-07-01,Gynaecology,South East,7849,6188,1427,25.2,78.8
2020-07-01,Gynaecology,South West,6240,3710,233,38.4,59.5
2020-07-01,Gynaecology,East of England,6809,4856,816,33.5,71.3
2020-07-01,ENT,London,8566,6421,1861,23.4,75.0
2020-07-01,ENT,Midlands,6424,4769,806,45.5,74.2
2020-07-01,ENT,North West,7777,4347,1845,11.6,55.9
2020-07-01,ENT,North East,4687,3495,1193,42.4,74.6
2020-07-01,ENT,South East,2903,1973,613,26.7,68.0
2020-07-01,ENT,South West,1879,1367,308,21.6,72.8
2020-07-01,ENT,East of England,5803,4841,715,27.5,83.4
2020-07-01,Gastroenterology,London,6163,3934,282,24.8,63.8
2020-07-01,Gastroenterology,Midlands,5099,3363,391,12.5,66.0
2020-07-01,Gastroenterology,North West,2707,2400,79,15.1,88.7
2020-07-01,Gastroenterology,North East,3173,2001,816,41.9,63.1
2020-07-01,Gastroenterology,South East,3128,2401,830,45.8,76.8
2020-07-01,Gastroenterology,South West,7587,5484,1309,17.4,72.3
2020-07-01,Gastroenterology,East of England,3031,2598,146,12.7,85.7
2020-07-01,Dermatology,London,2923,1846,189,41.7,63.2
2020-07-01,Dermatology,Midlands,8361,7075,1477,19.4,84.6
2020-07-01,Dermatology,North West,7146,5509,1074,21.1,77.1
2020-07-01,Dermatology,North East,5878,4881,1136,16.9,83.0
2020-07-01,Dermatology,South East,8764,6840,1809,12.2,78.0
2020-07-01,Dermatology,South West,4919,4270,655,26.3,86.8
2020-07-01,Dermatology,East of England,6267,3747,1516,48.6,59.8
2020-08-01,Orthopaedics,London,3879,2184,391,47.7,56.3
2020-08-01,Orthopaedics,Midlands,3992,2324,482,25.6,58.2
2020-08-01,Orthopaedics,North West,8589,4878,1307,48.9,56.8
2020-08-01,Orthopaedics,North East,4519,3627,168,44.5,80.3
2020-08-01,Orthopaedics,South East,7039,6170,1042,46.7,87.7
2020-08-01,Orthopaedics,South West,4303,3420,667,45.0,79.5
2020-08-01,Orthopaedics,East of England,3801,3326,832,36.9,87.5
2020-08-01,Cardiology,London,4507,3035,352,47.6,67.3
2020-08-01,Cardiology,Midlands,8168,6767,473,45.7,82.8
2020-08-01,Cardiology,North West,2925,2112,700,11.0,72.2
2020-08-01,Cardiology,North East,6334,4269,1300,17.2,67.4
2020-08-01,Cardiology,South East,5765,4357,1202,21.0,75.6
2020-08-01,Cardiology,South West,5013,3289,869,49.7,65.6
2020-08-01,Cardiology,East of England,5155,3056,582,11.2,59.3
2020-08-01,Neurology,London,3252,1917,682,32.2,58.9
2020-08-01,Neurology,Midlands,3684,3171,430,17.9,86.1
2020-08-01,Neurology,North West,5191,3051,1319,38.0,58.8
2020-08-01,Neurology,North East,3717,3347,222,41.3,90.0
2020-08-01,Neurology,South East,3033,2056,529,12.6,67.8
2020-08-01,Neurology,South West,5675,5200,1068,28.5,91.6
2020-08-01,Neurology,East of England,2811,1681,587,11.8,59.8
2020-08-01,Ophthalmology,London,3070,2621,342,43.2,85.4
2020-08-01,Ophthalmology,Midlands,5950,4776,775,21.6,80.3
2020-08-01,Ophthalmology,North West,7480,6727,327,44.6,89.9
2020-08-01,Ophthalmology,North East,7455,6292,1437,19.5,84.4
2020-08-01,Ophthalmology,South East,7201,6019,547,16.0,83.6
2020-08-01,Ophthalmology,South West,8240,7430,461,27.9,90.2
2020-08-01,Ophthalmology,East of England,8848,7843,2070,49.0,88.6
2020-08-01,General Surgery,London,4467,2910,1188,27.0,65.1
2020-08-01,General Surgery,Midlands,8573,7013,1765,18.7,81.8
2020-08-01,General Surgery,North West,6940,5490,769,45.0,79.1
2020-08-01,General Surgery,North East,5499,4129,319,18.9,75.1
2020-08-01,General Surgery,South East,8056,6745,1710,44.3,83.7
2020-08-01,General Surgery,South West,3166,2085,784,49.1,65.9
2020-08-01,General Surgery,East of England,2386,1737,113,15.8,72.8
2020-08-01,Urology,London,4815,3414,329,30.3,70.9
2020-08-01,Urology,Midlands,1648,1266,209,49.8,76.8
2020-08-01,Urology,North West,6422,3559,232,26.3,55.4
2020-08-01,Urology,North East,3940,3587,787,36.8,91.0
2020-08-01,Urology,South East,2750,2387,589,12.4,86.8
2020-08-01,Urology,South West,1823,1507,99,14.9,82.7
2020-08-01,Urology,East of England,7050,4249,1013,35.3,60.3
2020-08-01,Gynaecology,London,6336,4796,129,23.7,75.7
2020-08-01,Gynaecology,Midlands,1441,1077,346,14.1,74.7
2020-08-01,Gynaecology,North West,3090,2067,816,18.8,66.9
2020-08-01,Gynaecology,North East,5344,4522,365,17.4,84.6
2020-08-01,Gynaecology,South East,4851,3810,950,12.1,78.5
2020-08-01,Gynaecology,South West,7099,4040,1096,38.9,56.9
2020-08-01,Gynaecology,East of England,8479,6903,1865,24.2,81.4
2020-08-01,ENT,London,1890,1378,348,32.7,72.9
2020-08-01,ENT,Midlands,7669,6537,1012,36.3,85.2
2020-08-01,ENT,North West,8836,5126,293,20.6,58.0
2020-08-01,ENT,North East,6760,4916,1170,23.8,72.7
2020-08-01,ENT,South East,2788,1880,178,42.1,67.4
2020-08-01,ENT,South West,5643,4143,891,39.3,73.4
2020-08-01,ENT,East of England,2629,1769,406,30.3,67.3
2020-08-01,Gastroenterology,London,6787,4233,1285,13.7,62.4
2020-08-01,Gastroenterology,Midlands,2073,1784,128,48.8,86.1
2020-08-01,Gastroenterology,North West,4998,4122,625,24.5,82.5
2020-08-01,Gastroenterology,North East,3936,3282,571,32.3,83.4
2020-08-01,Gastroenterology,South East,3731,3053,524,45.4,81.8
2020-08-01,Gastroenterology,South West,4033,3401,738,50.1,84.3
2020-08-01,Gastroenterology,East of England,3724,2543,427,29.2,68.3
2020-08-01,Dermatology,London,6764,4310,1444,26.9,63.7
2020-08-01,Dermatology,Midlands,7504,4786,1971,18.0,63.8
2020-08-01,Dermatology,North West,8649,6332,694,45.3,73.2
2020-08-01,Dermatology,North East,4402,3386,721,37.0,76.9
2020-08-01,Dermatology,South East,8305,5070,967,49.2,61.0
2020-08-01,Dermatology,South West,5243,4548,106,34.1,86.7
2020-08-01,Dermatology,East of England,8681,6048,674,20.1,69.7
2020-09-01,Orthopaedics,London,6985,4031,424,31.4,57.7
2020-09-01,Orthopaedics,Midlands,6643,5690,840,20.6,85.7
2020-09-01,Orthopaedics,North West,5688,3479,342,12.3,61.2
2020-09-01,Orthopaedics,North East,6361,5060,875,44.2,79.5
2020-09-01,Orthopaedics,South East,4282,3062,1009,32.9,71.5
2020-09-01,Orthopaedics,South West,3733,2207,320,13.1,59.1
2020-09-01,Orthopaedics,East of England,3808,3414,106,15.6,89.7
2020-09-01,Cardiology,London,5997,5370,585,30.9,89.5
2020-09-01,Cardiology,Midlands,3652,2938,431,29.8,80.4
2020-09-01,Cardiology,North West,1665,1502,298,45.2,90.2
2020-09-01,Cardiology,North East,7288,4932,1108,15.8,67.7
2020-09-01,Cardiology,South East,4984,3113,935,49.2,62.5
2020-09-01,Cardiology,South West,1670,1370,95,20.1,82.0
2020-09-01,Cardiology,East of England,4172,2568,803,44.0,61.6
2020-09-01,Neurology,London,5893,4730,844,35.3,80.3
2020-09-01,Neurology,Midlands,8134,7075,1721,15.3,87.0
2020-09-01,Neurology,North West,6969,4389,1282,26.4,63.0
2020-09-01,Neurology,North East,5774,3403,1061,50.4,58.9
2020-09-01,Neurology,South East,2473,2254,298,45.3,91.1
2020-09-01,Neurology,South West,6177,3604,560,15.1,58.3
2020-09-01,Neurology,East of England,8065,5641,809,37.2,69.9
2020-09-01,Ophthalmology,London,7835,6519,1716,28.0,83.2
2020-09-01,Ophthalmology,Midlands,8121,4827,1260,11.0,59.4
2020-09-01,Ophthalmology,North West,8146,6379,1398,33.1,78.3
2020-09-01,Ophthalmology,North East,8614,5976,1129,20.2,69.4
2020-09-01,Ophthalmology,South East,7862,5616,170,34.0,71.4
2020-09-01,Ophthalmology,South West,6867,5474,1195,29.2,79.7
2020-09-01,Ophthalmology,East of England,3286,2466,847,44.3,75.0
2020-09-01,General Surgery,London,4944,2766,514,25.9,55.9
2020-09-01,General Surgery,Midlands,7495,4804,1035,26.4,64.1
2020-09-01,General Surgery,North West,5742,4885,1142,48.6,85.1
2020-09-01,General Surgery,North East,3247,2773,410,46.3,85.4
2020-09-01,General Surgery,South East,7178,6332,569,47.5,88.2
2020-09-01,General Surgery,South West,8377,5218,1162,18.5,62.3
2020-09-01,General Surgery,East of England,3173,2046,284,23.0,64.5
2020-09-01,Urology,London,1629,1263,323,21.6,77.5
2020-09-01,Urology,Midlands,5286,3145,336,37.8,59.5
2020-09-01,Urology,North West,8017,5285,1747,18.1,65.9
2020-09-01,Urology,North East,1503,1062,60,43.1,70.7
2020-09-01,Urology,South East,4514,3540,1163,34.6,78.4
2020-09-01,Urology,South West,3780,3315,285,19.2,87.7
2020-09-01,Urology,East of England,1456,894,158,46.7,61.4
2020-09-01,Gynaecology,London,3369,2148,723,21.7,63.8
2020-09-01,Gynaecology,Midlands,8069,5703,1502,14.6,70.7
2020-09-01,Gynaecology,North West,6912,4885,390,20.1,70.7
2020-09-01,Gynaecology,North East,7162,6225,520,14.6,86.9
2020-09-01,Gynaecology,South East,7745,5154,588,19.0,66.5
2020-09-01,Gynaecology,South West,4222,2684,491,34.3,63.6
2020-09-01,Gynaecology,East of England,2824,1840,475,37.6,65.2
2020-09-01,ENT,London,4278,3030,850,38.2,70.8
2020-09-01,ENT,Midlands,7471,4463,330,39.5,59.7
2020-09-01,ENT,North West,6121,5417,1301,21.3,88.5
2020-09-01,ENT,North East,1569,1050,117,24.9,66.9
2020-09-01,ENT,South East,2712,1935,617,37.3,71.3
2020-09-01,ENT,South West,5895,3752,908,45.7,63.6
2020-09-01,ENT,East of England,4293,3441,326,28.9,80.2
2020-09-01,Gastroenterology,London,2053,1637,551,37.0,79.7
2020-09-01,Gastroenterology,Midlands,3657,3358,477,24.0,91.8
2020-09-01,Gastroenterology,North West,2629,1992,681,17.7,75.8
2020-09-01,Gastroenterology,North East,5641,4678,343,27.0,82.9
2020-09-01,Gastroenterology,South East,2577,2200,47,22.7,85.4
2020-09-01,Gastroenterology,South West,8134,6867,2046,20.1,84.4
2020-09-01,Gastroenterology,East of England,4212,3465,891,20.4,82.3
2020-09-01,Dermatology,London,1953,1450,342,14.3,74.2
2020-09-01,Dermatology,Midlands,4618,4017,791,30.9,87.0
2020-09-01,Dermatology,North West,4181,3395,113,22.8,81.2
2020-09-01,Dermatology,North East,4321,2985,454,20.3,69.1
2020-09-01,Dermatology,South East,5932,3933,700,28.5,66.3
2020-09-01,Dermatology,South West,7320,6391,430,41.9,87.3
2020-09-01,Dermatology,East of England,5382,4935,1251,19.1,91.7
2020-10-01,Orthopaedics,London,2448,1451,548,25.9,59.3
2020-10-01,Orthopaedics,Midlands,7356,5495,1469,16.4,74.7
2020-10-01,Orthopaedics,North West,1569,1050,37,16.9,66.9
2020-10-01,Orthopaedics,North East,6800,4610,1794,36.2,67.8
2020-10-01,Orthopaedics,South East,5013,3002,1179,47.3,59.9
2020-10-01,Orthopaedics,South West,3479,3069,789,23.4,88.2
